id;sid;name;type;owner;parent;tm
1299555;20AD1D0EC774F101C91B4061AB3556B2;ТП_матответственность работника_увольнение;32;965405;1243370;1589040634
1243560;171E0B9A0859E16C6A09B9D49E33D776;аренда_площади;32;965405;1243370;1580990256
1378014;21EED5CA381053BF7536CC2D785DCD08;реклама;32;965405;1243370;1567434223
1381393;2347F1842AEB9CD0AA9EE18036A888AA;уполномоченное лицо;32;965405;1243370;1567694919
1518459;27A93FE37C88D8F2F12DD9E050D3D6E5;ТП_больничный;32;965405;1243370;1582650927
1391846;F94BFF1B6C55D5E531145BDF702DD71E;Международное право курсовая Саша;32;897313;767068;1569692538
1341250;2B5D63E4E412748ED4BB06B2D9023E9F;кадастровый учет;32;965405;1243370;1563881174
1397215;60497570093C06C5B2FB5FBD167F2CB0;неустойка_отказ от договора;32;965405;1243370;1570529359
1308626;174FD9098D4975E868DC5BDC26F18787;госпошлина_оплата представителем;32;965405;1243370;1557744904
1417966;2E86D37EC31A26FBD43B6EB916D1ACBC;аренда_обеспечение запрет действий;32;965405;1243370;1574687540
1284814;61FF0384FCF29085C407C6C7EAFF5D3D;аренда_регистрация ДДА;32;965405;1243370;1596714082
1398500;2F276B3CFB3E60D32A79D1747AAF0BC1;фитнес_объекты спорта;32;965405;1243370;1595521424
1404429;33EEFAEC42F115CE91B15EC5F122113F;инкассирование;32;965405;1243370;1572252726
1496690;17A188BD4F4F79172060C19A0A9C2E3E;ТП_праздничные дни_оплата;32;965405;1243370;1580303106
1245002;374B8A61EB2E0B126A009FF406F3C19F;убытки_9ААС;32;965405;1243370;1549752540
1284656;3B16F167C6F1CC3B68A56F738ADC0A2E;документы;32;965405;1243370;1558450202
1388688;3C5A4389CD841129A01C236FA2F6790E;ТП_выдача копий документов;32;965405;1243370;1574245051
1243370;6E7CDCE40F5EA59A6BCF4091C961EF10;Мои папки;1;965405;1243369;1597912677
1404537;7073E0A4A4E4350B03E074F1931C040E;информация;32;965405;1243370;1572270110
1404593;42E33797EC073C765375608B9A21F109;ПД;32;965405;1243370;1574762137
1302760;46C77BB68608F2929480385D58D2D98B;состязательность;32;965405;1243370;1558449866
1413902;4DF823CC99AF22D94ADB76AB82ADBEDA;ТП_СОУТ;32;965405;1243370;1574245888
1251174;7471A1AB6DA4029BFF9D402812570D1D;добросовестность;32;965405;1243370;1561383895
1538171;4E56CF4405EDB8835BBB1EC74A84D58E;МСП;32;965405;1243370;1587558501
1324813;4FB034C20181043B1BFE13FF446386A2;парковки_Мск;32;965405;1243370;1559314162
1416133;505938F7B42990FCA40A99CAD0E3EFE0;эстоппель;32;965405;1243370;1574334499
1394426;52844D7B696B11A8C76B5776C8807C88;акт сверки;32;965405;1243370;1570026900
1625573;5411820DBC2BCB387FD41597537C829C;ТП-отпуск;32;965405;1243370;1596441195
1243559;7B503478DF2EEF571472C73D2FD81480;аренда_расторжение договора;32;965405;1243370;1576159821
1381006;2255DF695B2FE108FFE5995A5438C10A;аренда_приостановление комм услуг;32;965405;1243370;1574684868
1251179;5AE0F685BE19715DBC04FFE7DF747669;акт выполненных работ;32;965405;1243370;1549640992
1406120;5DC41DD040D701EC6B3437C11AB82CC2;аренда_расторжение_залоговый кредитор;32;965405;1243370;1572528158
1398527;887F3FC6ECFABE871BB0EF743AE78035;налоговые органы_должная осмотрительность;32;965405;1243370;1591274357
1335156;2979F4315222C22AA36B9E27F139BBBB;убытки_переговоры;32;965405;1243370;1561047418
1526707;608AA5DE80D2605AE7BD7141C943FF92;ТП_беларус;32;965405;1243370;1583919470
1321242;61A4688E9263CA9C797A89F990665F0F;Левина;32;965405;1243370;1558630348
1398522;923A9FE36A4523B1E335502AC73290ED;фитнес-проверки;32;965405;1243370;1592794201
1285845;6670370C5AA17925FBD6DA7FEF06E1C6;Крокус;32;965405;1243370;1554134274
1269515;679EF173F9DD455003743DC6B987E49B;Шоу торг;32;965405;1243370;1595251561
1603843;67AA7B8772EE3A765B96A52EAE362D19;чарджбэк;32;965405;1243370;1591368937
1324265;6ADC5CD3E6F19AC09B9ED786E9BC0158;полиция-ОРД;32;965405;1243370;1559217222
1257227;9952874738A1DF77E51C3D55195DCE27;доказательства_судебный процесс;32;965405;1243370;1574333590
1244101;6C3B110CC4AE15BE7877DF3BE396D509;Проверка ФНС_неуплата налога;32;965405;1243370;1550460521
1532406;6DC12D92F667D5140DB1512C2AB62D83;ТП_простой;32;965405;1243370;1596441208
1513758;3B830CAA07E17A990A618639EFCD1407;ТП_подделка документов;32;965405;1243370;1582879049
1335702;7150AA9245480B391BCA913AC4E1E705;об обязании внести изменения в договор;32;965405;1243370;1561123957
1537346;734E12A9CFC2A4D4C474B2320F571B4A;_вирус фитнес-центры;32;965405;1243370;1597226748
1584587;468BE60FC3AABAFEFF7955E99A816CAF;ККТ;32;965405;1243370;1589040657
1283382;744659B53DFD7B0AC2D4015EC03F383F;исключение из ЕГРЮЛ;32;965405;1243370;1568042097
1453158;476D51C2B7785400D935C4BC6798FC7B;договор_поставка+ВОУ;32;965405;1243370;1576594464
1531043;762E277D7E35F6155263BA824324CE64;форс-мажор;32;965405;1243370;1585918642
1277140;76E2994742A8CDAD4E96CEDD1BC5E8E8;ООО;32;965405;1243370;1596450923
